Institute	Academic Program Name	Quota	Seat Type	Gender	Opening Rank	Closing Rank
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	19393	19838
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	411	411
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	1892	1965
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	3846	3846
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	4917	5356
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	9265	9265
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	2243	2637
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	4664	4664
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	1047	1244
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Data Science and Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	2577	2577
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	25406	29154
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	26666	28169
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Gender-Neutral	3230	3230
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	4722	4808
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	7211	7211
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	22454	25808
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	30017	30017
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	6880	7013
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	7357	7357
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	3945	10439
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	15106	18664
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	26952	31516
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	1140	1140
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	2621	2715
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	4805	4805
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	5877	6602
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	12913	12913
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	3303	3954
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	6535	6535
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	1427	1676
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electrical Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	2918	2918
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	17414	26098
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	21017	25474
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OPEN (PwD)	Female-only (including Supernumerary)	1878	1878
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	3670	4241
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	6717	6717
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	9081	21495
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	22397	24627
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	3643	6757
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	6830	6830
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	7148	7679
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	HS	ST	Female-only (including Supernumerary)	10440	10440
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	13389	14867
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	24362	26284
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OPEN (PwD)	Gender-Neutral	852	852
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	2033	2200
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	3766	3766
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	4886	5645
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	11351	11408
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL (PwD)	Gender-Neutral	373	373
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	2859	3278
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	4564	4564
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	1245	1246
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and Communication Engineering (4 Years, Bachelor of Technology)	OS	ST	Female-only (including Supernumerary)	2690	2690
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	24789	26815
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	26765	26765
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	4630	4630
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	23520	24307
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	25671	25671
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	849	849
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	3296	3296
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	HS	ST	Gender-Neutral	11575	11575
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	15326	16173
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	25783	25783
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	2263	2325
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	5689	5928
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Female-only (including Supernumerary)	12282	12282
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	SC	Gender-Neutral	3406	3406
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	SC	Female-only (including Supernumerary)	6162	6162
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Electronics and VLSI Engineering (4 Years, Bachelor of Technology)	OS	ST	Gender-Neutral	1445	1445
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Gender-Neutral	48615	66642
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	OPEN	Female-only (including Supernumerary)	51164	62629
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	EWS	Gender-Neutral	10218	11143
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	EWS	Female-only (including Supernumerary)	10416	10416
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Gender-Neutral	46217	53241
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	OBC-NCL	Female-only (including Supernumerary)	70716	72072
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	SC	Gender-Neutral	10760	13187
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	HS	SC	Female-only (including Supernumerary)	14334	14334
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Gender-Neutral	19975	40460
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	OS	OPEN	Female-only (including Supernumerary)	53980	54826
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	OS	EWS	Gender-Neutral	6354	6443
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	OS	EWS	Female-only (including Supernumerary)	8565	8565
Dr. B R Ambedkar National Institute of Technology, Jalandhar	Industrial and Production Engineering (4 Years, Bachelor of Technology)	OS	OBC-NCL	Gender-Neutral	12625	13966
